City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,san lawrenz,36.0553,14.204,12.67,72,99,16.03,MT,1704566526
255,iquique,-20.2208,-70.1431,24.02,74,44,3.08,CL,1704566527
256,pacific grove,36.6177,-121.9166,12.6,69,0,1.79,US,1704566247
257,lethem,3.3803,-59.7968,37.7,26,37,4.78,GY,1704566394
258,newman,37.3138,-121.0208,8.49,68,100,4.08,US,1704566529
259,nova sintra,14.8667,-24.7167,21.22,70,0,6.05,CV,1704566530
260,kindu,-2.95,25.95,24.44,82,100,0.14,CD,1704566530
261,luziania,-16.2525,-47.9503,28.83,59,7,2.05,BR,1704566532
262,kerikeri,-35.2268,173.9474,15.76,88,16,2.25,NZ,1704566532
263,inskoy,54.4297,86.44,-8.85,95,100,2.18,RU,1704566533
264,konarka,19.9,86.1167,16.22,64,0,1.81,IN,1704566533
265,bel ombre,-4.6167,55.4167,26.91,83,75,4.12,SC,1704566534
266,daru,-9.0763,143.2092,26.17,87,100,2.16,PG,1704566535
267,howrah,22.5892,88.3103,18.0,77,7,1.54,IN,1704566535
268,bubaque,11.2833,-15.8333,26.59,69,7,6.63,GW,1704566536
269,koulamoutou,-1.1303,12.4736,24.38,86,100,1.04,GA,1704566537
270,okhotsk,59.3833,143.3,-29.59,81,1,6.09,RU,1704566537
271,hasaki,35.7333,140.8333,3.22,53,0,3.45,JP,1704566538
272,juhaynah,26.6732,31.4976,15.18,37,36,2.31,EG,1704566539
273,omdurman,15.6445,32.4777,24.03,23,2,3.94,SD,1704566539
274,kapa'a,22.0752,-159.319,21.17,90,0,2.57,US,1704566271
275,kindia,10.0569,-12.8658,26.72,24,74,1.0,GN,1704566541
276,molochnoye,59.2917,39.6787,-30.38,100,39,1.34,RU,1704566541
277,ilulissat,69.2167,-51.1,-10.99,67,75,2.06,GL,1704566542
278,hede,33.7681,120.2517,-0.56,68,0,3.45,CN,1704566543
279,wajir,1.7471,40.0573,28.98,54,0,2.06,KE,1704566544
280,antsiranana,-12.2787,49.2917,26.49,85,55,1.6,MG,1704566544
281,huangnihe,43.5583,128.0239,-17.02,91,97,2.87,CN,1704566545
282,sredets,42.3475,27.179,14.06,73,98,8.9,BG,1704566546
283,khandyga,62.6667,135.6,-45.74,100,100,0.21,RU,1704566546
284,gazli,40.1333,63.45,10.8,46,86,3.87,UZ,1704566547
285,smithers,54.7804,-127.1743,-7.82,93,75,1.54,CA,1704566548
286,yeniseysk,58.4497,92.1703,-3.36,91,100,4.47,RU,1704566549
287,aba,5.1066,7.3667,28.12,68,17,3.47,NG,1704566550
288,karratha,-20.7377,116.8463,27.24,67,6,7.78,AU,1704566551
289,punta arenas,-53.15,-70.9167,15.06,47,0,12.86,CL,1704566389
290,ust'-ordynskiy,52.805,104.7508,-17.04,94,100,1.71,RU,1704566552
291,vilhena,-12.7406,-60.1458,28.12,74,40,4.12,BR,1704566552
292,taoudenni,22.6783,-3.9836,24.09,16,0,3.04,ML,1704566301
293,xylokastro,38.0776,22.6317,17.22,53,8,3.58,GR,1704566554
294,fenoarivo atsinanana,-17.3667,49.4167,26.16,91,100,1.73,MG,1704566554
295,morehead city,34.7229,-76.726,18.03,85,71,9.39,US,1704566349
296,porbandar,21.6422,69.6093,20.41,33,2,5.59,IN,1704566555
297,amursk,50.2261,136.8994,-23.9,100,98,0.45,RU,1704566556
298,obama,35.4958,135.746,6.64,54,99,8.02,JP,1704566556
299,jaguarari,-10.2639,-40.1958,30.78,42,100,2.27,BR,1704566557
300,callao,-12.0667,-77.15,26.16,65,20,6.69,PE,1704566557
301,kingston,17.997,-76.7936,30.69,68,20,8.75,JM,1704566547
302,ellsworth,44.5434,-68.4195,-4.66,60,0,3.6,US,1704566558
303,mil'kovo,55.6078,37.7956,-15.32,96,100,2.31,RU,1704566559
304,mawlaik,23.6333,94.4167,14.27,83,0,0.32,MM,1704566560
305,manokwari,-0.8667,134.0833,26.16,80,100,1.72,ID,1704566560
306,aleg,17.0481,-13.9209,28.27,8,0,4.85,MR,1704566561
307,bodaybo,57.8506,114.1933,-30.64,96,100,0.79,RU,1704566561
308,tommot,58.9564,126.2925,-31.15,99,100,0.61,RU,1704566562
309,clearwater,27.9659,-82.8001,26.17,85,100,7.72,US,1704566562
310,elista,46.3078,44.2558,-0.71,92,100,3.13,RU,1704566563
311,al qubbah,32.7616,22.2424,12.52,38,9,9.61,LY,1704566563
312,kristiansund,63.1115,7.732,-4.64,86,13,1.54,NO,1704566564
313,luena,-11.7833,19.9167,21.1,88,20,1.54,AO,1704566564
314,ekibastuz,51.6667,75.3667,-4.29,97,100,1.55,KZ,1704566491
315,samfya,-11.3649,29.5565,20.05,88,21,1.04,ZM,1704566566
316,opuwo,-18.0607,13.84,26.32,46,61,3.89,NA,1704566566
317,lompoc,34.6391,-120.4579,14.23,59,0,1.54,US,1704566567
318,hue,16.4667,107.6,23.06,83,40,0.51,VN,1704566567
319,tongren,27.7172,109.1853,11.7,83,100,0.97,CN,1704566568
320,worland,44.0169,-107.9554,-0.36,86,0,0.0,US,1704566402
